run,checkpoint,case_id,query_count,Kq_min,Kq_max,Kq_mean,Kq_q10,Kq_q90,Kq_histogram
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0648,8192,2,6,3.31591796875,2.0,4.0,"{""2"": 1068, ""3"": 4125, ""4"": 2432, ""5"": 477, ""6"": 90}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0649,8192,2,6,3.5338134765625,3.0,4.0,"{""2"": 170, ""3"": 4209, ""4"": 3170, ""5"": 556, ""6"": 87}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0650,8192,2,6,3.2384033203125,2.0,4.0,"{""2"": 1171, ""3"": 4329, ""4"": 2268, ""5"": 416, ""6"": 8}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0651,8192,2,6,3.37548828125,3.0,4.0,"{""2"": 773, ""3"": 4221, ""4"": 2657, ""5"": 431, ""6"": 110}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0652,8192,2,6,3.5035400390625,2.0,5.0,"{""2"": 880, ""3"": 3333, ""4"": 3008, ""5"": 916, ""6"": 55}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0653,8192,2,6,3.29931640625,2.0,4.0,"{""2"": 1018, ""3"": 4184, ""4"": 2525, ""5"": 450, ""6"": 15}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0654,8192,2,6,3.1298828125,2.0,4.0,"{""2"": 1691, ""3"": 4197, ""4"": 1878, ""5"": 401, ""6"": 25}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0655,8192,2,6,3.3858642578125,2.0,4.0,"{""2"": 977, ""3"": 3827, ""4"": 2703, ""5"": 620, ""6"": 65}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0656,8192,2,6,3.1241455078125,2.0,4.0,"{""2"": 1761, ""3"": 4056, ""4"": 2035, ""5"": 277, ""6"": 63}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0657,8192,2,6,3.177734375,2.0,4.0,"{""2"": 1535, ""3"": 4008, ""4"": 2330, ""5"": 296, ""6"": 23}"
