endpoint,source_index,case,layout_index,wind_direction_deg,classic_volume_rmse_mps,dense_volume_rmse_mps,dense_minus_classic_volume_rmse_mps
epoch2500_validation,49,gen_0016_wd285,16,285.0,0.018139157444238663,0.007798196282237768,-0.010340961162000895
epoch2500_validation,50,gen_0016_wd300,16,300.0,0.01884102262556553,0.009455774910748005,-0.009385247714817524
epoch2500_validation,51,gen_0017_wd270,17,270.0,0.021456895396113396,0.010733612813055515,-0.01072328258305788
epoch2500_validation,52,gen_0017_wd285,17,285.0,0.01969553343951702,0.011686533689498901,-0.00800899975001812
epoch2500_validation,53,gen_0017_wd300,17,300.0,0.02060108818113804,0.013050626963376999,-0.00755046121776104
epoch2500_validation,69,gen_0023_wd270,23,270.0,0.018885409459471703,0.0075595797970891,-0.011325829662382603
epoch2500_validation,70,gen_0023_wd285,23,285.0,0.015308433212339878,0.007648365572094917,-0.007660067640244961
epoch2500_validation,71,gen_0023_wd300,23,300.0,0.014049363322556019,0.008523376658558846,-0.005525986663997173
epoch2500_validation,93,gen_0031_wd270,31,270.0,0.012796273455023766,0.007354017812758684,-0.005442255642265081
epoch2500_validation,94,gen_0031_wd285,31,285.0,0.014433737844228745,0.008384321816265583,-0.0060494160279631615
epoch2500_validation,95,gen_0031_wd300,31,300.0,0.01225288026034832,0.0068948413245379925,-0.0053580389358103275
epoch2500_validation,120,gen_0040_wd270,40,270.0,0.015962956473231316,0.007143009919673204,-0.008819946553558111
epoch2500_validation,121,gen_0040_wd285,40,285.0,0.015332767739892006,0.008467784151434898,-0.0068649835884571075
epoch2500_validation,122,gen_0040_wd300,40,300.0,0.013730400241911411,0.006897107232362032,-0.006833293009549379
epoch2500_validation,126,gen_0042_wd270,42,270.0,0.023661723360419273,0.013375570997595787,-0.010286152362823486
epoch2500_validation,127,gen_0042_wd285,42,285.0,0.02635454759001732,0.012176231481134892,-0.014178316108882427
epoch2500_validation,128,gen_0042_wd300,42,300.0,0.04222305119037628,0.01243401039391756,-0.02978904079645872
epoch2500_validation,129,gen_0043_wd270,43,270.0,0.01635695807635784,0.00920775718986988,-0.007149200886487961
