endpoint,layout_index,layout_mean_dense_minus_classic_volume_rmse_mps,estimate_mean_dense_minus_classic_volume_rmse_mps,bootstrap_lower_2_5_percent_mps,bootstrap_upper_97_5_percent_mps,replicates,seed,descriptive_scope
best_validation,1,-0.006114024358491103,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,69,-0.0058748675510287285,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,76,-0.012160640520354113,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,105,-0.006606205676992734,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,109,-0.005478139966726303,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,122,-0.012266034881273905,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,129,-0.011287781099478403,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,137,-0.006500738052030404,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,142,-0.009619566611945629,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,154,-0.006455807636181514,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,158,-0.00868610975642999,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,160,-0.006641888370116551,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,162,-0.021373434613148373,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,168,-0.012504087761044502,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,169,-0.008897386491298676,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,172,-0.006043732476731141,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,182,-0.01597681703666846,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
best_test,6,-0.005057020112872124,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,14,-0.007685038571556409,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,19,-0.0071042996520797414,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,22,-0.010236110848685106,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,30,-0.00968770713855823,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,34,-0.005534910596907139,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,35,-0.007921932886044184,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,36,-0.008549126175542673,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,41,-0.00702357292175293,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,44,-0.006111788252989451,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,47,-0.009171439024309317,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,49,-0.007657768515249093,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,58,-0.005659698819120725,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,64,-0.010276757801572481,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,77,-0.005605778656899929,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,97,-0.009676172398030758,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,102,-0.006948595866560936,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,110,-0.008852003452678522,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,113,-0.014638072811067104,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,136,-0.014905857232709726,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,139,-0.007033361742893855,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,140,-0.007898349314928055,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,141,-0.00542357936501503,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,163,-0.006006693467497826,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,175,-0.011078070849180222,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,181,-0.007859921082854271,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,183,-0.012907671431700388,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,184,-0.009940102075537046,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,193,-0.007547490609188874,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
best_test,194,-0.004804142750799656,-0.00829343448082606,-0.009275649335338839,-0.007413584884100904,10000,42,held-out layouts only; not population-generalization
