endpoint,stratum,classic_cases,dense_cases,classic_layouts,dense_layouts,classic_mean_volume_rmse_mps,dense_mean_volume_rmse_mps,dense_minus_classic_volume_rmse_mps,dense_reduction_percent_volume_rmse,classic_max_volume_rmse_mps,dense_max_volume_rmse_mps
best_validation,M=25,6,6,2,2,0.017647546405593555,0.011842912373443445,-0.00580463403215011,32.892017387245836,0.019224651157855988,0.01270825881510973
best_validation,M=27,3,3,1,1,0.018937970822056133,0.010824775944153467,-0.008113194877902666,42.84088804516281,0.02292133867740631,0.011569079011678696
best_validation,M=28,9,9,3,3,0.019328831384579342,0.012088465297387706,-0.007240366087191636,37.458892072326954,0.02244359441101551,0.013549704104661942
best_validation,M=29,3,3,1,1,0.020469069480895996,0.012571345393856367,-0.007897724087039629,38.58369866012063,0.021579453721642494,0.013417374342679977
best_validation,M=30,3,3,1,1,0.02022052618364493,0.012150300356249014,-0.008070225827395918,39.91105747744289,0.020690960809588432,0.013073419220745564
best_validation,M=8,3,3,1,1,0.017725870013237,0.008794779268403849,-0.008931090744833151,50.384498691256084,0.019441409036517143,0.009239079430699348
best_validation,M=9,6,6,2,2,0.021562222701807816,0.010333179185787836,-0.01122904351601998,52.077393278562674,0.030223485082387924,0.013270614668726921
best_validation,M_bin=11-15,15,15,5,5,0.01589232509334882,0.008939915616065264,-0.006952409477283556,43.74696236357036,0.020382555201649666,0.010464114136993885
best_validation,M_bin=16-20,18,18,6,6,0.017460363089210458,0.010483117101507055,-0.006977245987703403,39.960486228461974,0.024669351056218147,0.014268566854298115
best_validation,M_bin=21-25,24,24,8,8,0.02301164239179343,0.01195302710402757,-0.01105861528776586,48.05661021270546,0.059075284749269485,0.014678164385259151
best_validation,M_bin=26-30,18,18,6,6,0.019602343440055847,0.011968636264403662,-0.0076337071756521855,38.94282945810094,0.02292133867740631,0.013549704104661942
best_validation,M_bin=6-10,15,15,5,5,0.019339547057946525,0.009628932860990366,-0.009710614196956159,50.211176962213884,0.030223485082387924,0.013270614668726921
best_validation,aspect_xy_bin=1,29,29,13,13,0.021031185213861794,0.010518261825601602,-0.010512923388260192,49.98730828223154,0.059075284749269485,0.014678164385259151
best_validation,aspect_xy_bin=2,18,18,14,14,0.018325841778682336,0.011056915391236544,-0.007268926387445793,39.66489766326272,0.030223485082387924,0.01342775858938694
best_validation,aspect_xy_bin=3,24,24,14,14,0.01926766037164877,0.011015231759908298,-0.008252428611740472,42.83046541490547,0.03219772130250931,0.014268566854298115
best_validation,aspect_xy_bin=4,19,19,11,11,0.0181943602663906,0.01058512136928345,-0.00760923889710715,41.821964530202585,0.022448835894465446,0.013351188972592354
best_validation,direction=270,30,30,30,30,0.020406495252003273,0.01096022284279267,-0.009446272409210603,46.290518251943716,0.059075284749269485,0.014268566854298115
best_validation,direction=285,30,30,30,30,0.017980540233353774,0.01056316305572788,-0.007417377177625894,41.25224871645799,0.027058156207203865,0.0135497460141778
best_validation,direction=300,30,30,30,30,0.019875838421285152,0.01079451204277575,-0.009081326378509402,45.69028076211444,0.05023210868239403,0.014678164385259151
best_validation,mean_nn_D_bin=1,27,27,9,9,0.025218396896013507,0.01225011243864342,-0.012968284457370086,51.42390498033639,0.059075284749269485,0.014678164385259151
best_validation,mean_nn_D_bin=2,18,18,6,6,0.0176343135535717,0.010771182210495075,-0.006863131343076626,38.919186291130394,0.022448835894465446,0.013549704104661942
best_validation,mean_nn_D_bin=3,27,27,9,9,0.017215897053204202,0.010583145992347488,-0.006632751060856715,38.526897787311256,0.02292133867740631,0.014268566854298115
best_validation,mean_nn_D_bin=4,18,18,6,6,0.0158190353670054,0.008842093378512396,-0.006976941988493005,44.104724634759854,0.019441409036517143,0.010464114136993885
best_validation,min_sep_D_bin=1,27,27,9,9,0.025218396896013507,0.01225011243864342,-0.012968284457370086,51.42390498033639,0.059075284749269485,0.014678164385259151
best_validation,min_sep_D_bin=2,18,18,6,6,0.0176343135535717,0.010771182210495075,-0.006863131343076626,38.919186291130394,0.022448835894465446,0.013549704104661942
best_validation,min_sep_D_bin=3,27,27,9,9,0.017215897053204202,0.010583145992347488,-0.006632751060856715,38.526897787311256,0.02292133867740631,0.014268566854298115
best_validation,min_sep_D_bin=4,18,18,6,6,0.0158190353670054,0.008842093378512396,-0.006976941988493005,44.104724634759854,0.019441409036517143,0.010464114136993885
best_validation,nn_dispersion_bin=1,24,24,8,8,0.022844845079816878,0.011664423975162208,-0.01118042110465467,48.9406737738503,0.059075284749269485,0.014678164385259151
best_validation,nn_dispersion_bin=2,27,27,9,9,0.0176250365804191,0.010325849797852614,-0.007299186782566485,41.41373976310307,0.02292133867740631,0.01342775858938694
best_validation,nn_dispersion_bin=3,15,15,5,5,0.019399104515711467,0.01043121845771869,-0.008967886057992777,46.22835064747254,0.05023210868239403,0.012852141633629799
best_validation,nn_dispersion_bin=4,24,24,8,8,0.01803114082819472,0.010596855892799795,-0.007434284935394924,41.23025274013816,0.024669351056218147,0.013073419220745564
best_validation,volume_quartile=1,19,19,7,7,0.024003862256282253,0.011138014887508593,-0.01286584736877366,53.599071813563796,0.05023210868239403,0.014066941104829311
best_validation,volume_quartile=2,23,23,11,11,0.020611147477251034,0.01086100166582543,-0.009750145811425604,47.30520618605562,0.059075284749269485,0.014678164385259151
best_validation,volume_quartile=3,25,25,13,13,0.016384688429534434,0.010177260134369134,-0.006207428295165299,37.885543700519925,0.022227495908737183,0.01342775858938694
best_validation,volume_quartile=4,23,23,10,10,0.017745183983250805,0.011029570161000542,-0.006715613822250263,37.844712281309384,0.02292133867740631,0.013549704104661942
epoch2500_validation,M=10,6,6,2,2,0.017246329380820196,0.008570517258097729,-0.008675812122722467,50.30526746387506,0.021874675527215004,0.010572542436420918
