case_id,channel,checkpoint,normalized_mse,normalized_sse,normalized_target_ss,physical_mse,physical_sse,physical_target_ss,region,value_count
0273,temperature,run1000_best,0.00024333337756652295,1.5230236101888672,2370.8050736976365,0.013035918955435554,81.59181674207113,160062.44497650897,far_field_fluid,6259
0273,__all__,run1000_best,0.0001378552670711168,4.3141805829906,14247.495927952317,0.0026261794601678723,82.18628620595356,166388.11000938632,far_field_fluid,31295
0274,u,run1000_best,0.017561380138195262,143.8628260920956,10143.02275174041,0.0039732317746749325,32.54871469813705,6638.605643079838,whole,8192
0274,v,run1000_best,0.1068290636841866,875.1436897008566,4180.566391444204,6.511187220607206e-05,0.5333964571121423,2.547886605787262,whole,8192
0274,p,run1000_best,0.008531361594365518,69.88891418104232,5238.845563964125,0.00011455569263494387,0.9384402340654602,80.77155308893447,whole,8192
0274,omega,run1000_best,0.1258260102238914,1030.7666757541183,7339.177328190217,0.05441532933735738,445.77037793163163,3173.9323232513216,whole,8192
0274,temperature,run1000_best,0.0015456750347989446,12.662169885072954,2026.1676914595837,0.08280529987338303,678.3410165627538,159796.81093025047,whole,8192
0274,__all__,run1000_best,0.052058698135087546,2132.324275613186,28927.779726798537,0.02827470571005126,1158.1319458836997,169692.66833627637,whole,40960
0274,u,run1000_best,0.0002444682936843549,1.9493901738390458,9747.905319065972,5.531051460360918e-05,0.4410460434491796,6638.605643079838,fluid,7974
0274,v,run1000_best,5.9202933331151724e-05,0.47208419038260385,4180.5662626944195,3.608394680276944e-08,0.0002877333918052835,2.547886605787262,fluid,7974
0274,p,run1000_best,0.00101438886524683,8.088736811478222,3590.2532904441236,1.362080535948692e-05,0.1086123019365487,53.42630531711386,fluid,7974
0274,omega,run1000_best,0.00017385851549482016,1.386347802555696,7339.1773145624775,7.51876959739833e-05,0.5995466876965428,3173.932323251322,fluid,7974
0274,temperature,run1000_best,0.00035048390299786145,2.7947586425049473,1954.5897802269592,0.018776212803346275,149.7215208938832,144013.58103962158,fluid,7974
